12c00000-13580000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
72e2e000-72e2f000 r--p 00002000 fd:06 29545846                           /system/framework/arm64/boot-hwIms-common.oat
72e2f000-72e30000 rw-p 00003000 fd:06 29545846                           /system/framework/arm64/boot-hwIms-common.oat
72e30000-72e34000 r--p 00000000 fd:06 29836652                           /system/framework/arm64/boot-hwPartMedia.oat
72e34000-72e3a000 r-xp 00004000 fd:06 29836652                           /system/framework/arm64/boot-hwPartMedia.oat
72e3a000-72e3b000 rw-p 00000000 00:00 0                                  [anon:.bss]
72e3b000-72e3c000 r--s 00000000 fd:06 29770737                           /system/framework/boot-hwPartMedia.vdex
72e3c000-72e3d000 r--p 0000a000 fd:06 29836652                           /system/framework/arm64/boot-hwPartMedia.oat
72e3d000-72e3e000 rw-p 0000b000 fd:06 29836652                           /system/framework/arm64/boot-hwPartMedia.oat
72e3e000-72e40000 r--p 00000000 fd:06 29816040                           /system/framework/arm64/boot-hwPartConnectivity.oat
72e40000-72e42000 r-xp 00002000 fd:06 29816040                           /system/framework/arm64/boot-hwPartConnectivity.oat
72e42000-72e43000 rw-p 00000000 00:00 0                                  [anon:.bss]
72e43000-72e44000 r--s 00000000 fd:06 29767546                           /system/framework/boot-hwPartConnectivity.vdex
72e44000-72e45000 r--p 00004000 fd:06 29816040                           /system/framework/arm64/boot-hwPartConnectivity.oat
72e45000-72e46000 rw-p 00005000 fd:06 29816040                           /system/framework/arm64/boot-hwPartConnectivity.oat
72e46000-72e48000 r--p 00000000 fd:06 29836662                           /system/framework/arm64/boot-hwPartPowerOffice.oat
72e48000-72e49000 r-xp 00002000 fd:06 29836662                           /system/framework/arm64/boot-hwPartPowerOffice.oat
72e49000-72e4a000 rw-p 00000000 00:00 0                                  [anon:.bss]
72e4a000-72e4b000 r--s 00000000 fd:06 29770745                           /system/framework/boot-hwPartPowerOffice.vdex
72e4b000-72e4c000 r--p 00003000 fd:06 29836662                           /system/framework/arm64/boot-hwPartPowerOffice.oat
72e4c000-72e4d000 rw-p 00004000 fd:06 29836662                           /system/framework/arm64/boot-hwPartPowerOffice.oat
72e4d000-72e50000 r--p 00000000 fd:06 29831663                           /system/framework/arm64/boot-hwPartDeviceVirtualization.oat
72e50000-72e51000 r--s 00000000 fd:06 31019630                           /system/framework/boot-hwPartDeviceVirtualization.vdex
72e51000-72e52000 r--p 00003000 fd:06 29831663                           /system/framework/arm64/boot-hwPartDeviceVirtualization.oat
72e52000-72e53000 rw-p 00004000 fd:06 29831663                           /system/framework/arm64/boot-hwPartDeviceVirtualization.oat
72e53000-72e55000 r--p 00000000 fd:06 29711464                           /system/framework/arm64/boot-hwPartAirSharing.oat
72e55000-72e56000 r--s 00000000 fd:06 35253369                           /system/framework/boot-hwPartAirSharing.vdex
72e56000-72e57000 r--p 00002000 fd:06 29711464                           /system/framework/arm64/boot-hwPartAirSharing.oat
72e57000-72e58000 rw-p 00003000 fd:06 29711464                           /system/framework/arm64/boot-hwPartAirSharing.oat
72e58000-72e5a000 r--p 00000000 fd:06 29816060                           /system/framework/arm64/boot-hwPartDefaultDFR.oat
72e5a000-72e5b000 r-xp 00002000 fd:06 29816060                           /system/framework/arm64/boot-hwPartDefaultDFR.oat
72e5b000-72e5c000 rw-p 00000000 00:00 0                                  [anon:.bss]
72e5c000-72e5d000 r--s 00000000 fd:06 31019626                           /system/framework/boot-hwPartDefaultDFR.vdex
72e5d000-72e5e000 r--p 00003000 fd:06 29816060                           /system/framework/arm64/boot-hwPartDefaultDFR.oat
72e5e000-72e5f000 rw-p 00004000 fd:06 29816060                           /system/framework/arm64/boot-hwPartDefaultDFR.oat
72e5f000-72e63000 r--p 00000000 fd:06 29816050                           /system/framework/arm64/boot-hwPartDFR.oat
72e63000-72e6c000 r-xp 00004000 fd:06 29816050                           /system/framework/arm64/boot-hwPartDFR.oat
72e6c000-72e6d000 rw-p 00000000 00:00 0                                  [anon:.bss]
72e6d000-72e6e000 r--s 00000000 fd:06 31019621                           /system/framework/boot-hwPartDFR.vdex
72e6e000-72e6f000 r--p 0000d000 fd:06 29816050                           /system/framework/arm64/boot-hwPartDFR.oat
72e6f000-72e70000 rw-p 0000e000 fd:06 29816050                           /system/framework/arm64/boot-hwPartDFR.oat
72e70000-72e72000 r--p 00000000 fd:06 29834734                           /system/framework/arm64/boot-hwPartMagicWindow.oat
72e72000-72e73000 r--s 00000000 fd:06 29770730                           /system/framework/boot-hwPartMagicWindow.vdex
72e73000-72e74000 r--p 00002000 fd:06 29834734                           /system/framework/arm64/boot-hwPartMagicWindow.oat
72e74000-72e75000 rw-p 00003000 fd:06 29834734                           /system/framework/arm64/boot-hwPartMagicWindow.oat
72e75000-72e7b000 r--p 00000000 fd:06 29831675                           /system/framework/arm64/boot-hwPartIaware.oat
72e7b000-72e8d000 r-xp 00006000 fd:06 29831675                           /system/framework/arm64/boot-hwPartIaware.oat
72e8d000-72e8e000 rw-p 00000000 00:00 0                                  [anon:.bss]
72e8e000-72e8f000 r--s 00000000 fd:06 29770724                           /system/framework/boot-hwPartIaware.vdex
72e8f000-72e90000 r--p 00018000 fd:06 29831675                           /system/framework/arm64/boot-hwPartIaware.oat
72e90000-72e91000 rw-p 00019000 fd:06 29831675                           /system/framework/arm64/boot-hwPartIaware.oat
72e91000-72e93000 r--p 00000000 fd:06 29834744                           /system/framework/arm64/boot-hwPartMdm.oat
72e93000-72e96000 r-xp 00002000 fd:06 29834744                           /system/framework/arm64/boot-hwPartMdm.oat
72e96000-72e97000 rw-p 00000000 00:00 0                                  [anon:.bss]
72e97000-72e98000 r--s 00000000 fd:06 29770733                           /system/framework/boot-hwPartMdm.vdex
